id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,accommodates,bedrooms,beds,bathrooms,room_type_ord,amenity_count,minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_superhost,host_identity_verified_f,is_instant_bookable,host_response_rate_f,host_acceptance_rate_f,host_response_time_ord,has_license,has_wifi,has_kitchen,has_ac,has_gym,has_parking,has_pool,has_washer,has_dryer,has_elevator,has_doorman,has_pets_allowed,dist_subway_km,near_subway,subway_lines_500m,nearest_subway_cbd,nearest_subway_ada,dist_lirr_km,lirr_count_1mi,poi_count_500m,poi_count_1km,tourist_poi_500m,crime_count_500m,estimated_occupancy_l365d,estimated_revenue_l365d,boro_Bronx,boro_Brooklyn,boro_Manhattan,boro_Queens,boro_Staten Island,prop_Entire home,prop_Hotel room,prop_Other,prop_Private room,prop_Shared room,price_numeric,log_price
1274691077561855573,40.53547,-74.15135,Eltingville,Staten Island,2,1.0,1.0,1.0,2,11,2,73,17,17,1.62,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,1.0,0.97,1.0,1,1,1,1,0,1,0,1,0,0,0,0,1.5095858266028033,0,0,0,0,22.158235353298206,0,4,11,2,8,218,18966.0,False,False,False,False,True,False,False,False,True,False,87.0,4.477336814478207
1279691717688251905,40.757846246937646,-73.98372307027294,Theater District,Manhattan,4,1.0,2.0,1.0,2,25,1,99,0,0,2.4050000000000002,4.83,4.85,4.83,4.91,4.91,4.8,4.73,0,1,1,1.0,0.96,1.0,1,1,0,1,1,1,0,0,1,1,0,1,0.2211534111250343,1,13,1,1,0.7576744896695451,2,200,862,110,2457,0,0.0,False,False,True,False,False,False,True,False,False,False,599.0,6.396929655216146
1279699245295400653,40.76306,-73.9943,Hell's Kitchen,Manhattan,2,1.0,1.0,1.0,2,25,1,156,0,0,2.4050000000000002,4.83,4.85,4.83,4.91,4.91,4.8,4.73,0,1,1,1.0,0.96,1.0,1,1,0,1,1,1,0,0,1,1,0,1,0.7035964480243949,0,0,1,2,1.4203479949166316,1,139,521,64,707,0,0.0,False,False,True,False,False,False,True,False,False,False,503.0,6.222576268071369
1279717291672022825,40.71015,-74.00882,Financial District,Manhattan,6,2.0,2.0,1.0,3,27,3,95,8,8,1.78,4.75,4.75,4.88,4.88,4.75,5.0,4.5,1,1,1,1.0,1.0,1.0,1,1,0,1,0,0,0,1,1,0,0,0,0.06293026128125344,1,12,1,1,3.9171787665841733,0,310,968,144,731,102,43758.0,False,False,True,False,False,True,False,False,False,False,429.0,6.063785208687608
1279747786358341953,40.70851,-74.00871,Financial District,Manhattan,6,2.0,2.0,1.0,3,28,3,84,13,13,2.22,4.92,4.92,4.92,4.85,4.92,4.85,4.92,1,1,1,1.0,1.0,1.0,1,1,1,1,0,0,0,1,1,0,0,0,0.19066357219489982,1,12,1,0,3.7797002080018927,0,428,865,211,701,166,77854.0,False,False,True,False,False,True,False,False,False,False,469.0,6.152732694704104
1279759802665836048,40.6685,-73.85126,Howard Beach,Queens,2,1.0,1.0,1.0,3,44,2,329,10,10,1.52,5.0,5.0,4.9,4.9,4.9,5.0,4.9,0,1,1,1.0,1.0,1.0,1,1,1,1,0,1,0,0,1,0,0,0,1.2614083821446527,0,0,0,0,4.503437000385856,0,15,58,8,47,128,18688.0,False,False,False,True,False,True,False,False,False,False,146.0,4.990432586778736
1279846130440111446,40.8099445,-73.93065659999999,Port Morris,Bronx,2,0.0,1.0,1.0,3,43,1,364,3,3,0.26,4.0,4.0,4.33,4.33,3.67,4.0,4.0,0,1,1,0.98,0.99,1.0,1,1,1,1,1,1,0,0,1,1,0,1,0.3709436361583076,1,3,0,0,7.164712945451246,0,76,468,24,2342,38,11438.0,True,False,False,False,False,True,False,False,False,False,301.0,5.71042701737487
1279894814266093381,40.76157,-73.99455,Hell's Kitchen,Manhattan,2,1.0,1.0,1.0,2,25,1,146,0,0,2.4050000000000002,4.83,4.85,4.83,4.91,4.91,4.8,4.73,0,1,1,1.0,0.96,1.0,1,1,0,1,1,1,0,0,1,1,0,1,0.623747068839609,0,0,1,1,1.2573283190721734,1,156,632,71,822,0,0.0,False,False,True,False,False,False,True,False,False,False,539.0,6.29156913955832
1277574482013322658,40.74829,-73.98868,Midtown,Manhattan,6,1.0,3.0,1.0,2,10,1,148,11,11,0.93,4.64,4.91,4.64,4.91,5.0,4.91,4.64,0,1,1,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0.15473974341635477,1,11,1,1,0.42579803394228444,2,255,938,139,2872,141,32994.0,False,False,True,False,False,False,False,False,True,False,234.0,5.459585514144159
1277579374332627051,40.746443859019685,-73.98872626912889,Midtown,Manhattan,4,1.0,2.0,1.0,2,10,1,170,10,10,0.89,4.8,4.7,4.7,4.9,4.5,5.0,4.6,0,1,1,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0.1056612862677201,1,11,1,0,0.5600367999474322,2,265,917,143,1984,128,16768.0,False,False,True,False,False,False,False,False,True,False,131.0,4.882801922586371
1277595699583112534,40.75262,-73.85399,Jackson Heights,Queens,2,1.0,1.0,1.0,2,29,3,47,19,19,3.22,4.37,4.74,4.26,4.79,4.84,4.42,4.37,0,0,1,1.0,0.97,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0.15036814375158652,1,1,0,0,0.8675801685923085,1,14,79,4,252,243,23328.0,False,False,False,True,False,False,False,False,True,False,96.0,4.574710978503383
1277613014804999034,40.7037929,-73.87716710000001,Glendale,Queens,2,1.0,1.0,1.0,2,36,4,356,37,37,3.92,4.95,4.95,4.86,5.0,5.0,4.86,4.92,1,1,0,1.0,0.96,1.0,1,1,1,0,0,1,0,0,1,0,0,0,1.346547253954998,0,0,0,1,3.242730939085874,0,14,38,5,38,255,23205.0,False,False,False,True,False,False,False,False,True,False,91.0,4.5217885770490405
1281410200551469789,40.73189,-73.87362,Elmhurst,Queens,2,1.0,1.0,2.0,2,30,1,147,21,21,8.87,5.0,5.0,5.0,5.0,5.0,4.86,4.95,1,0,0,0.93,0.84,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0.3939168604077126,1,2,0,0,2.784142117786554,0,38,157,9,827,255,33405.0,False,False,False,True,False,False,False,False,True,False,131.0,4.882801922586371
1277634170164164364,40.865231070529106,-73.84722293820218,Pelham Gardens,Bronx,1,1.0,1.0,1.0,2,24,1,364,14,14,2.36,4.64,4.64,4.79,4.71,4.71,4.64,4.5,0,1,0,1.0,0.99,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0.4827565455113915,1,1,0,1,11.724199968439589,0,16,77,2,75,179,18795.0,True,False,False,False,False,False,False,False,True,False,105.0,4.663439094112067
1277646948639349904,40.75265,-73.99352,Hell's Kitchen,Manhattan,2,1.0,1.0,1.0,2,22,1,318,105,105,18.0,4.58,4.6,4.64,4.69,4.74,4.85,4.52,0,1,1,1.0,1.0,1.0,1,1,0,1,0,0,0,0,1,1,0,0,0.041800809858315205,1,6,1,1,0.2625866502117434,2,297,846,157,7184,255,116535.0,False,False,True,False,False,False,True,False,False,False,457.0,6.126869184114185
1277860842634805302,40.61566,-73.97584,Borough Park,Brooklyn,2,1.0,1.0,1.0,2,53,2,336,26,26,2.36,5.0,5.0,4.96,4.96,5.0,4.77,5.0,1,1,0,1.0,0.68,1.0,1,1,1,1,0,1,0,1,1,1,0,0,0.1502529519038089,1,1,0,0,7.35179096998548,0,33,118,7,86,255,24735.0,False,True,False,False,False,False,False,False,True,False,97.0,4.584967478670572
1282241919059204971,40.835093,-73.911616,Claremont Village,Bronx,4,0.0,1.0,1.0,3,19,2,62,58,58,5.76,4.76,4.79,4.83,4.79,4.84,4.53,4.76,1,0,0,0.96,0.94,2.0,1,1,1,0,0,0,0,0,0,0,0,1,0.49191809409673676,1,2,0,0,9.95288330425584,0,72,473,30,1067,255,34680.0,True,False,False,False,False,True,False,False,False,False,136.0,4.919980925828125
